customer_id,Customer,Network,Country,Node Qty,NE Type,gTAC,Setup Status,Total Runs,Data Source,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,Tata,TTML,India,27,1678MCC,Classic,NEW,9,Database,08-Jan,01-Feb,03-Mar,05-Apr,02-May,04-Jun,02-Jul,08-Aug,04-Sep,-,-,-
2,Tata,TTSL_BackBone,India,40,1678MCC,Classic,NEW,9,Database,08-Jan,01-Feb,03-Mar,05-Apr,02-May,04-Jun,02-Jul,05-Aug,04-Sep,-,-,-
3,Tata,TTSL North,India,17,1678MCC,Classic,NEW,9,Database,08-Jan,01-Feb,03-Mar,07-Apr,02-May,04-Jun,02-Jul,05-Aug,04-Sep,-,-,-
4,Tata,TTSL_EAST,India,14,1678MCC,Classic,NEW,9,Database,08-Jan,01-Feb,03-Mar,05-Apr,02-May,04-Jun,02-Jul,05-Aug,04-Sep,-,-,-
5,Tata,TTSL_South,India,12,1678MCC,Classic,NEW,9,Database,08-Jan,01-Feb,03-Mar,02-Apr,02-May,04-Jun,02-Jul,05-Aug,04-Sep,-,-,-
6,Tata,Bharti Legacy,India,19,1678MCC,Classic,NEW,6,Database,-,Not Run,-,10-Apr,29-May,05-Jun,07-Jul,26-Aug,-,-,-,-
7,Tata,TTSL_ONE,India,14,1830 ONE,Classic,NEW,9,Database,09-Jan,02-Feb,04-Mar,07-Apr,02-May,04-Jun,02-Jul,05-Aug,04-Sep,-,-,-
8,Moratel,Moratelindo_ONE,Indonesia,48,1830 ONE,Classic,NEW,0,Database,-,-,-,-,-,-,-,-,-,-,-,-
9,LTV,LTV,India,148,1830 PSS,PSS,NEW,9,Database,11-Jan,05-Feb,09-Mar,10-Apr,13-May,08-Jun,11-Jul,11-Aug,10-Sep,-,-,-
10,Maxix,Maxis_M_Sdn_Bhd,Malaysia,394,1830 PSS,PSS,NEW,3,Database,02-Jan,-,17-Mar,-,-,16-Jun,-,-,-,-,-,-
11,Maxix,Maxis_M_Sdn_Bhd_OCS,Malaysia,10,1830 PSS,PSS,NEW,2,Database,-,-,17-Mar,-,-,16-Jun,-,-,-,-,-,-
12,Worldlink,Worldlink,Nepal,21,1830 PSS,PSS,NEW,5,Database,13-Jan,06-Feb,04-Mar,-,15-May,-,-,10-Aug,-,-,-,-
13,OPT_NC,OPT_NC,New Caledonia,31,1830 PSS,PSS,READY,7,Database,03-Jan,-,03-Mar,04-Apr,03-May,19-Jun,-,27-Aug,-,08-Oct,-,-
14,Telekom_Malaysia,Telekom_Malaysia,Malaysia,173,1830 PSS,PSS,NEW,5,Database,Not Run,-,-,-,21-May,30-Jun,13-Jul,-,04-Sep,-,-,-
15,KEPCO,KEPCO,Korea,110,1830 PSS,PSS,NEW,1,Database,Not Run,-,-,-,-,-,-,-,-,-,-,-
16,SKB_LH,SKB_LH,Korea,128,1830 PSS,PSS,NEW,1,Database,Not Run,-,-,-,-,-,-,-,-,-,-,-
17,KT_B2B_KINX,KT_B2B_KINX,Korea,3,1830 PSS,PSS,NEW,1,Database,Not Run,-,-,-,-,-,-,-,-,-,-,-
18,LGU_HANA_BANK,LGU_HANA_BANK,Korea,4,1830 PSS,PSS,NEW,1,Database,Not Run,-,-,-,-,-,-,-,-,-,-,-
19,NongHyup-DCI,NongHyup-DCI,Korea,14,1830 PSS,PSS,NEW,1,Database,Not Run,-,-,-,-,-,-,-,-,-,-,-
20,Kakao,Kakao_DCI,Korea,17,1830 PSS,PSS,NEW,1,Database,Not Run,-,-,-,-,-,-,-,-,-,-,-
21,Kakao,Kakao_EnT,Korea,9,1830 PSS,PSS,NEW,1,Database,Not Run,-,-,-,-,-,-,-,-,-,-,-
