"Customer","Network","Country","Node Qty","NE Type","GTAC","Jan/2024","Feb/2024","Mar/2024","Apr/2024","May/2024","Jun/2024","Jul/2024","Aug/2024","Sep/2024","Oct/2024","Nov/2024","Dec/2024","Jan/2025","Feb/2025","Mar/2025","Apr/2025","May/2025","Jun/2025","Jul/2025","Aug/2025","Sep/2025","Total Runs"
"TTML","1 NETWORK","India","27","1678MCC","Classic","-","-","-","-","-","-","-","-","04-Sep-25","-","-","-","-","-","-","-","-","-","-","-","-","1"
"Tata","System.Object[]","India","40","1678MCC","Classic","-","-","-","-","-","-","-","-","04-Sep-25","-","-","-","-","-","-","-","-","-","-","-","-","1"
"Tata","3 runs","India","17","1678MCC","Classic","-","-","-","-","-","-","-","-","04-Sep-25","-","-","-","-","-","-","-","-","-","-","-","-","1"
"Tata","1 runs","India","14","1678MCC","Classic","-","-","-","-","-","-","-","-","04-Sep-25","-","-","-","-","-","-","-","-","-","-","-","-","1"
"Tata","0 runs","India","12","1678MCC","Classic","-","-","-","-","-","-","-","-","04-Sep-25","-","-","-","-","-","-","-","-","-","-","-","-","1"
"LTV","1 NETWORK","India","148","1830PSS","PSS","-","-","-","-","-","-","-","-","10-Sep-25","-","-","-","-","-","-","-","-","-","-","-","-","1"
"Maxis","1 NETWORK","Malaysia","394","1830PSS","PSS","-","-","-","-","-","16-Jun-25","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1"
"Maxis","2 runs","Malaysia","10","1830PSS","PSS","-","-","-","-","-","16-Jun-25","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1"
"Worldlink","1 NETWORK","Nepal","21","1830PSS","PSS","-","-","-","-","-","-","-","10-Aug-25","-","-","-","-","-","-","-","-","-","-","-","-","-","1"
"OPT_NC","1 NETWORK","New Caledonia","31","1830PSS","PSS","-","-","-","-","-","-","-","27-Aug-25","-","-","-","-","-","-","-","-","-","-","-","-","-","1"
"Asianet_SatCom","1 NETWORK","India","13","1830PSS","PSS","-","-","-","-","-","17-Jun-23","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1"
"TIMEDOTCOM","1 NETWORK","Malaysia","89","1830PSS","PSS","-","-","-","-","-","-","-","06-Aug-25","-","-","-","-","-","-","-","-","-","-","-","-","-","1"
"Telekom_Malaysia","1 NETWORK","Malaysia","173","1830PSS","PSS","-","-","-","-","-","-","-","-","04-Sep-25","-","-","-","-","-","-","-","-","-","-","-","-","1"
"Tata","1 runs","India","14","1830 ONE","Classic","-","-","-","-","-","-","-","-","04-Sep-25","-","-","-","-","-","-","-","-","-","-","-","-","1"
"KEPCO","1 NETWORK","Korea","110","1830PSS","PSS","-","-","-","03-Apr-24","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1"
"Bharti Legacy","1 NETWORK","India","19","1678MCC","Classic","-","-","-","-","-","-","07-Jul-25","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1"
"SKB_LH","1 NETWORK","Korea","128","1830PSS","PSS","-","-","-","-","-","-","-","28-Aug-24","-","-","-","-","-","-","-","-","-","-","-","-","-","1"
"KT_B2B_KINX","1 NETWORK","Korea","3","1830PSS","PSS","-","-","20-Mar-24","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1"
"LGU_HANA_BANK","1 NETWORK","Korea","4","1830PSS","PSS","22-Jan-24","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1"
"NongHyup-DCI","1 NETWORK","Korea","14","1830PSS","PSS","-","-","-","19-Apr-24","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1"
"Kakao_DCI","1 NETWORK","Korea","17","1830PSS","PSS","-","23-Feb-24","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1"
"Kakao_EnT","1 NETWORK","Korea","9","1830PSS","PSS","-","-","-","-","-","-","-","-","-","-","03-Nov-23","-","-","-","-","-","-","-","-","-","-","1"
