HC-Id;Location;Rack;Shelf;Slot;Sub;CLEI;Part number;Serial number;Temp(oC);Power(W);TxPwr;RxPwr;Power Admin;TL1 Type;Mnemonic;Company;ExtraData;Date;HC Date;Shelf Type;Release
100432;BASICHWAK / ER_OD_BAS_ILA1_001;1;1;0;0;;;;39.5;;;;N/A;SHELF;SHELF;;ShelfVoltFloor 39.0 V, ;;20250708;1830PSS8-WDM;
100432;BASICHWAK / ER_OD_BAS_ILA1_001;1;1;1;0;WOPUAFNMAC;3KC48870ABAB03;RT241500230;48.0;;;;N/A;PF;8DC30;NOK;FW: 1/1 PF ProvRel: default, ActRel: profile_1.3.1, (UBCM ALL *40011200 active), ;240409;20250708;1830PSS8-WDM;
100432;BASICHWAK / ER_OD_BAS_ILA1_001;1;1;12;0;WOCUA6HUTD;3KC48840AAAB04;RT241712936;29.0;;;;N/A;8USRPNL;8UP;NOK;;240428;20250708;1830PSS8-WDM;
100432;BASICHWAK / ER_OD_BAS_ILA1_001;1;1;13;0;WOCUA6GUAB;3KC48830AAAA02;RT241311022;29.5;;;;N/A;SHFPNL;8SP;NOK;;240331;20250708;1830PSS8-WDM;
100432;BASICHWAK / ER_OD_BAS_ILA1_001;1;1;14;0;WOCUA6SUAC;3KC48850AAAA03;RT241311721;28.8;;;;N/A;FAN;8FAN;NOK;;240331;20250708;1830PSS8-WDM;
100432;BASICHWAK / ER_OD_BAS_ILA1_001;1;1;2;0;WOGUA62UTB;3KC70693AAAD02;EZ2419T0191;;19.116;;;power-enabled;ASG;ASG;NOK;FW: 1/2 ASG ProvRel: default, ActRel: profile_1.1.1, (OSC 00 *40020300 active, SUPLNK 00 *40006D00 active, DOMINO 00 *400B0400 active, NUBCM 00 *40040C00 active), ;240513;20250708;1830PSS8-WDM;
100432;BASICHWAK / ER_OD_BAS_ILA1_001;1;1;2;OSCSFP;n.a.;1AB373120001;ATOPCN24162991;;;;;N/A;SL-16.2O;n.a.;n.a.;;n.a.;20250708;1830PSS8-WDM;
100432;BASICHWAK / ER_OD_BAS_ILA1_001;1;1;3;0;WOGUA62UTB;3KC70693AAAD02;EZ2419T0184;;14.337;;;power-enabled;ASG;ASG;NOK;FW: 1/3 ASG ProvRel: default, ActRel: profile_1.1.1, (OSC 00 *40020300 active, SUPLNK 00 *40006D00 active, DOMINO 00 *400B0400 active, NUBCM 00 *40040C00 active), ;240514;20250708;1830PSS8-WDM;
100432;BASICHWAK / ER_OD_BAS_ILA1_001;1;1;3;OSCSFP;n.a.;1AB373120001;ATOPCN24162986;;;;;N/A;SL-16.2O;n.a.;n.a.;;n.a.;20250708;1830PSS8-WDM;
100432;BASICHWAK / ER_OD_BAS_ILA1_001;1;1;6;0;WOCUA6FUTE;3KC48820AAHB05;RT241100434;40.0;15.930;;;N/A;8EC2;8EC2;NOK;;240312;20250708;1830PSS8-WDM;
100432;BASICHWAK / ER_OD_BAS_ILA1_001;1;1;7;0;WOPUAFNMAC;3KC48870ABAB03;RT241500195;39.5;;;;N/A;PF;8DC30;NOK;FW: 1/7 PF ProvRel: default, ActRel: profile_1.3.1, (UBCM ALL *40011200 active), ;240408;20250708;1830PSS8-WDM;
101201;JALPAIGURI / ER_WB_JAL_WDM2_001;1;1;0;0;;;;44.2;;;;N/A;SHELF;SHELF;;ShelfVoltFloor 39.0 V, ;;20250708;1830PSS16II-WDM;
101201;JALPAIGURI / ER_WB_JAL_WDM2_001;1;1;1;0;WOPUAFBMTB;3KC49010AAAE02;RT241310182;44.5;;;;N/A;PF;16DC65;NOK;FW: 1/1 PF ProvRel: default, ActRel: profile_1.3.1, (UBCM ALL *40011200 active), ;240330;20250708;1830PSS16II-WDM;
101201;JALPAIGURI / ER_WB_JAL_WDM2_001;1;1;11;0;WOPUAFBMTB;3KC49010AAAE02;RT241310169;40.5;;;;N/A;PF;16DC65;NOK;FW: 1/11 PF ProvRel: default, ActRel: profile_1.3.1, (UBCM ALL *40011200 active), ;240330;20250708;1830PSS16II-WDM;
101201;JALPAIGURI / ER_WB_JAL_WDM2_001;1;1;12;0;WOCUA6RUAG;8DG62635AANG07;RT241001107;49.5;30.210;;;N/A;32EC2;32EC2;NOK;;240305;20250708;1830PSS16II-WDM;
101201;JALPAIGURI / ER_WB_JAL_WDM2_001;1;1;2;0;WOCUA6RUAG;8DG62635AANG07;RT241309326;71.5;39.220;;;N/A;32EC2;32EC2;NOK;;240330;20250708;1830PSS16II-WDM;
