HC-Id;Location;Rack;Shelf;Slot;Sub;CLEI;Part number;Serial number;Temp(oC);Power(W);TxPwr;RxPwr;Power Admin;TL1 Type;Mnemonic;Company;ExtraData;Date;HC Date;Shelf Type;Release
100851;BIJAINAGAR / NR_RJ_BJG_ILA1_001;1;1;0;0;n.a.;RT242208646;RT242208646;41.0;;;;N/A;SHELF;SHELF;n.a.;ShelfVoltFloor 39.0 V, ;n.a.;20250708;1830PSS8-WDM;
100851;BIJAINAGAR / NR_RJ_BJG_ILA1_001;1;1;1;0;WOPUAFNMAC;3KC48870ABAB03;RT242801024;44.5;;;;N/A;PF;8DC30;NOK;FW: 1/1 PF ProvRel: default, ActRel: profile_1.3.1, (UBCM ALL *40011200 active), ;240708;20250708;1830PSS8-WDM;
100851;BIJAINAGAR / NR_RJ_BJG_ILA1_001;1;1;12;0;WOCUA6HUTD;3KC48840AAAB04;RT243812019;37.0;;;;N/A;8USRPNL;8UP;NOK;;240920;20250708;1830PSS8-WDM;
100851;BIJAINAGAR / NR_RJ_BJG_ILA1_001;1;1;13;0;WOCUA6GUAB;3KC48830AAAA02;RT242112997;36.5;;;;N/A;SHFPNL;8SP;NOK;;240524;20250708;1830PSS8-WDM;
100851;BIJAINAGAR / NR_RJ_BJG_ILA1_001;1;1;14;0;WOCUA6SUAC;3KC48850AAAA03;RT242113486;36.4;;;;N/A;FAN;8FAN;NOK;;240525;20250708;1830PSS8-WDM;
100851;BIJAINAGAR / NR_RJ_BJG_ILA1_001;1;1;2;0;WOOMA5JSAA;3KC71462AAAA01;AIVP052425L007;;21.525;;;power-enabled;IR4;IR4;NOK;FW: 1/2 IR4 ProvRel: default, ActRel: profile_1.1.1, (OSC 00 *40020300 active, SUPLNK 00 *40720000 active, DOMINO 00 *400B0A00 active, NUBCM 00 *40030F01 active), ;240626;20250708;1830PSS8-WDM;
100851;BIJAINAGAR / NR_RJ_BJG_ILA1_001;1;1;2;OSCSFP;n.a.;1AB373120001;ATOPCN24310118;;;;;N/A;SL-16.2O;n.a.;n.a.;;n.a.;20250708;1830PSS8-WDM;
100851;BIJAINAGAR / NR_RJ_BJG_ILA1_001;1;1;3;0;WOOMA5JSAA;3KC71462AAAA01;AIVP052424L111;;19.425;;;power-enabled;IR4;IR4;NOK;FW: 1/3 IR4 ProvRel: default, ActRel: profile_1.1.1, (OSC 00 *40020300 active, SUPLNK 00 *40720000 active, DOMINO 00 *400B0A00 active, NUBCM 00 *40030F01 active), ;240626;20250708;1830PSS8-WDM;
100851;BIJAINAGAR / NR_RJ_BJG_ILA1_001;1;1;3;OSCSFP;n.a.;1AB373120001;ATOPCN24310296;;;;;N/A;SL-16.2O;n.a.;n.a.;;n.a.;20250708;1830PSS8-WDM;
100851;BIJAINAGAR / NR_RJ_BJG_ILA1_001;1;1;6;0;WOCUA6FUTE;3KC48820AAHB05;RT243712499;40.0;15.750;;;N/A;8EC2;8EC2;NOK;;240915;20250708;1830PSS8-WDM;
100851;BIJAINAGAR / NR_RJ_BJG_ILA1_001;1;1;7;0;WOPUAFNMAC;3KC48870ABAB03;RT242712438;41.0;;;;N/A;PF;8DC30;NOK;FW: 1/7 PF ProvRel: default, ActRel: profile_1.3.1, (UBCM ALL *40011200 active), ;240708;20250708;1830PSS8-WDM;
101152;DAUSA / NR_RJ_DSA_ILA1_002;1;1;0;0;n.a.;RT243212601;RT243212601;41.5;;;;N/A;SHELF;SHELF;n.a.;ShelfVoltFloor 39.0 V, ;n.a.;20250708;1830PSS8-WDM;
101152;DAUSA / NR_RJ_DSA_ILA1_002;1;1;1;0;WOPUAFNMAC;3KC48870ABAB03;RT243508965;45.0;;;;N/A;PF;8DC30;NOK;FW: 1/1 PF ProvRel: default, ActRel: profile_1.3.1, (UBCM ALL *40011200 active), ;240829;20250708;1830PSS8-WDM;
101152;DAUSA / NR_RJ_DSA_ILA1_002;1;1;12;0;WOCUA6HUTD;3KC48840AAAB04;RT243615583;34.0;;;;N/A;8USRPNL;8UP;NOK;;240907;20250708;1830PSS8-WDM;
101152;DAUSA / NR_RJ_DSA_ILA1_002;1;1;13;0;WOCUA6GUAB;3KC48830AAAA02;RT242900196;35.0;;;;N/A;SHFPNL;8SP;NOK;;240715;20250708;1830PSS8-WDM;
101152;DAUSA / NR_RJ_DSA_ILA1_002;1;1;14;0;WOCUA6SUAC;3KC48850AAAA03;RT242903645;33.9;;;;N/A;FAN;8FAN;NOK;;240717;20250708;1830PSS8-WDM;
101152;DAUSA / NR_RJ_DSA_ILA1_002;1;1;2;0;WOGUA62UTB;3KC70693AAAD02;EZ2435T2397;;16.896;;;power-enabled;ASG;ASG;NOK;FW: 1/2 ASG ProvRel: default, ActRel: profile_DGP, (OSC 00 *40020300 active, SUPLNK 00 *40006D00 active, DOMINO 01 400B0700 activeDGP, NUBCM 00 *40040C00 active), ;240911;20250708;1830PSS8-WDM;
101152;DAUSA / NR_RJ_DSA_ILA1_002;1;1;2;OSCSFP;n.a.;1AB373120001;ATOPCN24272573;;;;;N/A;SL-16.2O;n.a.;n.a.;;n.a.;20250708;1830PSS8-WDM;
101152;DAUSA / NR_RJ_DSA_ILA1_002;1;1;3;0;WOGUA62UTB;3KC70693AAAD02;EZ2435T2420;;16.384;;;power-enabled;ASG;ASG;NOK;FW: 1/3 ASG ProvRel: default, ActRel: profile_DGP, (OSC 00 *40020300 active, SUPLNK 00 *40006D00 active, DOMINO 01 400B0700 activeDGP, NUBCM 00 *40040C00 active), ;240914;20250708;1830PSS8-WDM;
101152;DAUSA / NR_RJ_DSA_ILA1_002;1;1;3;OSCSFP;n.a.;1AB373120001;ATOPCN24357908;;;;;N/A;SL-16.2O;n.a.;n.a.;;n.a.;20250708;1830PSS8-WDM;
101152;DAUSA / NR_RJ_DSA_ILA1_002;1;1;6;0;WOCUA6FUTE;3KC48820AAHB05;RT242805274;39.0;17.920;;;N/A;8EC2;8EC2;NOK;;240711;20250708;1830PSS8-WDM;
