HC-Id;Location;Rack;Shelf;Slot;Sub;CLEI;Part number;Serial number;Temp(oC);Power(W);TxPwr;RxPwr;Power Admin;TL1 Type;Mnemonic;Company;ExtraData;Date;HC Date;Shelf Type;Release
101870;DTS RENAPUR / WR_MH_REN_ILA1_001;1;1;0;0;;;;30.5;;;;N/A;SHELF;SHELF;;ShelfVoltFloor 39.0 V, ;;20250809;1830PSS8-WDM;
101870;DTS RENAPUR / WR_MH_REN_ILA1_001;1;1;1;0;WOPUAFNMAC;3KC48870ABAB03;RT241113224;35.5;;;;N/A;PF;8DC30;NOK;FW: 1/1 PF ProvRel: default, ActRel: profile_1.3.1, (UBCM ALL *40011200 active), ;240319;20250809;1830PSS8-WDM;
101870;DTS RENAPUR / WR_MH_REN_ILA1_001;1;1;12;0;WOCUA6HUTD;3KC48840AAAB04;RT241612432;23.0;;;;N/A;8USRPNL;8UP;NOK;;240421;20250809;1830PSS8-WDM;
101870;DTS RENAPUR / WR_MH_REN_ILA1_001;1;1;13;0;WOCUA6GUAB;3KC48830AAAA02;RT241004911;23.5;;;;N/A;SHFPNL;8SP;NOK;;240307;20250809;1830PSS8-WDM;
101870;DTS RENAPUR / WR_MH_REN_ILA1_001;1;1;14;0;WOCUA6SUAC;3KC48850AAAA03;RT241004544;24.0;;;;N/A;FAN;8FAN;NOK;;240308;20250809;1830PSS8-WDM;
101870;DTS RENAPUR / WR_MH_REN_ILA1_001;1;1;2;0;WOGUA62UTB;3KC70693AAAD02;EZ2415T1374;;17.152;;;power-enabled;ASG;ASG;NOK;FW: 1/2 ASG ProvRel: default, ActRel: profile_1.1.1, (OSC 00 *40020300 active, SUPLNK 00 *40006D00 active, DOMINO 00 *400B0400 active, NUBCM 00 *40040C00 active), ;240428;20250809;1830PSS8-WDM;
101870;DTS RENAPUR / WR_MH_REN_ILA1_001;1;1;2;OSCSFP;n.a.;1AB373120001;ATOPCN24132494;;;;;N/A;SL-16.2O;n.a.;n.a.;;n.a.;20250809;1830PSS8-WDM;
101870;DTS RENAPUR / WR_MH_REN_ILA1_001;1;1;3;0;WOGUA62UTB;3KC70693AAAD02;EZ2415T1430;;11.256;;;power-enabled;ASG;ASG;NOK;FW: 1/3 ASG ProvRel: default, ActRel: profile_1.1.1, (OSC 00 *40020300 active, SUPLNK 00 *40006D00 active, DOMINO 00 *400B0400 active, NUBCM 00 *40040C00 active), ;240429;20250809;1830PSS8-WDM;
101870;DTS RENAPUR / WR_MH_REN_ILA1_001;1;1;3;OSCSFP;n.a.;1AB373120001;ATOPCN24132500;;;;;N/A;SL-16.2O;n.a.;n.a.;;n.a.;20250809;1830PSS8-WDM;
101870;DTS RENAPUR / WR_MH_REN_ILA1_001;1;1;6;0;WOCUA6FUTE;3KC48820AAHB05;RT240309706;29.0;16.080;;;N/A;8EC2;8EC2;NOK;;240120;20250809;1830PSS8-WDM;
101870;DTS RENAPUR / WR_MH_REN_ILA1_001;1;1;7;0;WOPUAFNMAC;3KC48870ABAB03;RT241200368;30.5;;;;N/A;PF;8DC30;NOK;FW: 1/7 PF ProvRel: default, ActRel: profile_1.3.1, (UBCM ALL *40011200 active), ;240318;20250809;1830PSS8-WDM;
104523;DTS RATLAM / WR_MP_RTM_WDM2_001;1;1;0;0;n.a.;RT241106361;RT241106361;31.0;;;;N/A;SHELF;SHELF;n.a.;ShelfVoltFloor 39.0 V, ;n.a.;20250809;1830PSS16II-WDM;
104523;DTS RATLAM / WR_MP_RTM_WDM2_001;1;1;1;0;WOPUAFBMTB;3KC49010AAAE02;RT242712247;43.5;;;;N/A;PF;16DC65;NOK;FW: 1/1 PF ProvRel: default, ActRel: profile_1.3.1, (UBCM ALL *40011200 active), ;240708;20250809;1830PSS16II-WDM;
104523;DTS RATLAM / WR_MP_RTM_WDM2_001;1;1;11;0;WOPUAFBMTB;3KC49010AAAE02;RT242802518;39.0;;;;N/A;PF;16DC65;NOK;FW: 1/11 PF ProvRel: default, ActRel: profile_1.3.1, (UBCM ALL *40011200 active), ;240709;20250809;1830PSS16II-WDM;
104523;DTS RATLAM / WR_MP_RTM_WDM2_001;1;1;12;0;WOCUA6RUAG;8DG62635AANG07;RT242408510;51.0;45.192;;;N/A;32EC2;32EC2;NOK;;240612;20250809;1830PSS16II-WDM;
104523;DTS RATLAM / WR_MP_RTM_WDM2_001;1;1;2;0;WOCUA6RUAG;8DG62635AANG07;RT242400972;71.5;36.584;;;N/A;32EC2;32EC2;NOK;;240610;20250809;1830PSS16II-WDM;
104523;DTS RATLAM / WR_MP_RTM_WDM2_001;1;1;21;0;WOCUBAUUAD;3KC48990ABAA04;RT241105184;31.0;;;;N/A;FAN;16FAN2;NOK;;240314;20250809;1830PSS16II-WDM;
104523;DTS RATLAM / WR_MP_RTM_WDM2_001;1;1;22;0;WOCUBFVUTB;3KC48980ABAB02;RT241106361;30.5;;;;N/A;USRPNL;16UP2;NOK;;240314;20250809;1830PSS16II-WDM;
104523;DTS RATLAM / WR_MP_RTM_WDM2_001;1;1;3;0;WOOMA5JSAA;3KC71462AAAA01;AIVP052420L073;;23.672;;;power-enabled;IR4;IR4;NOK;FW: 1/3 IR4 ProvRel: default, ActRel: profile_1.1.1, (OSC 00 *40020300 active, SUPLNK 00 *40720000 active, DOMINO 00 *400B0A00 active, NUBCM 00 *40030F01 active), ;240523;20250809;1830PSS16II-WDM;
104523;DTS RATLAM / WR_MP_RTM_WDM2_001;1;1;3;OSCSFP;n.a.;3AL82081AAAA;ALLU24-LTC36000272;;;;;N/A;SEUL1.2O;n.a.;n.a.;;n.a.;20250809;1830PSS16II-WDM;
104523;DTS RATLAM / WR_MP_RTM_WDM2_001;1;1;4;0;WOOMA5JSAA;3KC71462AAAA01;AIVP052420L068;;24.210;;;power-enabled;IR4;IR4;NOK;FW: 1/4 IR4 ProvRel: default, ActRel: profile_1.1.1, (OSC 00 *40020300 active, SUPLNK 00 *40720000 active, DOMINO 00 *400B0A00 active, NUBCM 00 *40030F01 active), ;240523;20250809;1830PSS16II-WDM;
104523;DTS RATLAM / WR_MP_RTM_WDM2_001;1;1;4;OSCSFP;n.a.;3AL82081AAAA;ALLU24-LTC34000877;;;;;N/A;SEUL1.2O;n.a.;n.a.;;n.a.;20250809;1830PSS16II-WDM;
104523;DTS RATLAM / WR_MP_RTM_WDM2_001;1;25;1;0;WOM2H00DRA;8DG59248AAAB01;ACLKWH24251066;;;;;N/A;SFD44;SFD44;NOK;;240610;20250809;;
104523;DTS RATLAM / WR_MP_RTM_WDM2_001;1;26;1;0;WOM2H00DRA;8DG59248AAAB01;ACLKWH24251065;;;;;N/A;SFD44;SFD44;NOK;;240610;20250809;;
107210;DTS KARERA / WR_MP_KRR_ILA1_001;1;1;0;0;;;;42.0;;;;N/A;SHELF;SHELF;;ShelfVoltFloor 39.0 V, ;;20250809;1830PSS8-WDM;
107210;DTS KARERA / WR_MP_KRR_ILA1_001;1;1;1;0;WOPUAFNMAC;3KC48870ABAB03;RT243504100;46.5;;;;N/A;PF;8DC30;NOK;FW: 1/1 PF ProvRel: default, ActRel: profile_1.3.1, (UBCM ALL *40011200 active), ;240827;20250809;1830PSS8-WDM;
107210;DTS KARERA / WR_MP_KRR_ILA1_001;1;1;12;0;WOCUA6HUTD;3KC48840AAAB04;RT243214030;36.0;;;;N/A;8USRPNL;8UP;NOK;;240812;20250809;1830PSS8-WDM;
107210;DTS KARERA / WR_MP_KRR_ILA1_001;1;1;13;0;WOCUA6GUAB;3KC48830AAAA02;RT243401042;37.0;;;;N/A;SHFPNL;8SP;NOK;;240820;20250809;1830PSS8-WDM;
107210;DTS KARERA / WR_MP_KRR_ILA1_001;1;1;14;0;WOCUA6SUAC;3KC48850AAAA03;RT243401679;37.2;;;;N/A;FAN;8FAN;NOK;;240820;20250809;1830PSS8-WDM;
107210;DTS KARERA / WR_MP_KRR_ILA1_001;1;1;2;0;WOGUA62UTB;3KC70693AAAD02;EZ2444T3329;;23.452;;;power-enabled;ASG;ASG;NOK;FW: 1/2 ASG ProvRel: default, ActRel: profile_DGP, (OSC 00 *40020300 active, SUPLNK 00 *40006D00 active, DOMINO 01 400B0700 activeDGP, NUBCM 00 *40040C00 active), ;241111;20250809;1830PSS8-WDM;
107210;DTS KARERA / WR_MP_KRR_ILA1_001;1;1;2;OSCSFP;n.a.;1AB373120001;ATOPCN24282146;;;;;N/A;SL-16.2O;n.a.;n.a.;;n.a.;20250809;1830PSS8-WDM;
107210;DTS KARERA / WR_MP_KRR_ILA1_001;1;1;3;0;WOGUA62UTB;3KC70693AAAD02;EZ2442T3214;;19.188;;;power-enabled;ASG;ASG;NOK;FW: 1/3 ASG ProvRel: default, ActRel: profile_DGP, (OSC 00 *40020300 active, SUPLNK 00 *40006D00 active, DOMINO 01 400B0700 activeDGP, NUBCM 00 *40040C00 active), ;241101;20250809;1830PSS8-WDM;
107210;DTS KARERA / WR_MP_KRR_ILA1_001;1;1;3;OSCSFP;n.a.;1AB373120001;ATOPCN24282147;;;;;N/A;SL-16.2O;n.a.;n.a.;;n.a.;20250809;1830PSS8-WDM;
107210;DTS KARERA / WR_MP_KRR_ILA1_001;1;1;6;0;WOCUA6FUTE;3KC48820AAHB05;RT242804085;41.0;15.457;;;N/A;8EC2;8EC2;NOK;;240710;20250809;1830PSS8-WDM;
107210;DTS KARERA / WR_MP_KRR_ILA1_001;1;1;7;0;WOPUAFNMAC;3KC48870ABAB03;RT243504085;42.0;;;;N/A;PF;8DC30;NOK;FW: 1/7 PF ProvRel: default, ActRel: profile_1.3.1, (UBCM ALL *40011200 active), ;240827;20250809;1830PSS8-WDM;
107519;DTS KANKAVLI / WR_MH_KKW_ILA1_001;1;1;0;0;RT241106497;3KC48901AA;02;36.5;;;;N/A;SHELF;SHELF;n.a.;ShelfVoltFloor 39.0 V, ;n.a.;20250809;1830PSS8-WDM;
107519;DTS KANKAVLI / WR_MH_KKW_ILA1_001;1;1;1;0;WOPUAFNMAC;3KC48870ABAB03;RT241003031;43.5;;;;N/A;PF;8DC30;NOK;FW: 1/1 PF ProvRel: default, ActRel: profile_1.3.1, (UBCM ALL *40011200 active), ;240306;20250809;1830PSS8-WDM;
107519;DTS KANKAVLI / WR_MH_KKW_ILA1_001;1;1;12;0;WOCUA6HUTD;3KC48840AAAB04;RT241712920;24.5;;;;N/A;8USRPNL;8UP;NOK;;240428;20250809;1830PSS8-WDM;
107519;DTS KANKAVLI / WR_MH_KKW_ILA1_001;1;1;13;0;WOCUA6GUAB;3KC48830AAAA02;RT241105487;25.0;;;;N/A;SHFPNL;8SP;NOK;;240314;20250809;1830PSS8-WDM;
107519;DTS KANKAVLI / WR_MH_KKW_ILA1_001;1;1;14;0;WOCUA6SUAC;3KC48850AAAA03;RT241100011;25.6;;;;N/A;FAN;8FAN;NOK;;240311;20250809;1830PSS8-WDM;
107519;DTS KANKAVLI / WR_MH_KKW_ILA1_001;1;1;2;0;WOGUA62UTB;3KC70693AAAD02;EZ2415T0212;;15.225;;;power-enabled;ASG;ASG;NOK;FW: 1/2 ASG ProvRel: default, ActRel: profile_1.1.1, (OSC 00 *40020300 active, SUPLNK 00 *40006D00 active, DOMINO 00 *400B0400 active, NUBCM 00 *40040C00 active), ;240415;20250809;1830PSS8-WDM;
107519;DTS KANKAVLI / WR_MH_KKW_ILA1_001;1;1;2;OSCSFP;n.a.;1AB373120001;ATOPCN24093187;;;;;N/A;SL-16.2O;n.a.;n.a.;;n.a.;20250809;1830PSS8-WDM;
107519;DTS KANKAVLI / WR_MH_KKW_ILA1_001;1;1;3;0;WOGUA62UTB;3KC70693AAAD02;EZ2347T0196;;13.650;;;power-enabled;ASG;ASG;NOK;FW: 1/3 ASG ProvRel: default, ActRel: profile_1.1.1, (OSC 00 *40020300 active, SUPLNK 00 *40006D00 active, DOMINO 00 *400B0400 active, NUBCM 00 *40040C00 active), ;240420;20250809;1830PSS8-WDM;
107519;DTS KANKAVLI / WR_MH_KKW_ILA1_001;1;1;3;OSCSFP;n.a.;1AB373120001;ATOPCN24093188;;;;;N/A;SL-16.2O;n.a.;n.a.;;n.a.;20250809;1830PSS8-WDM;
107519;DTS KANKAVLI / WR_MH_KKW_ILA1_001;1;1;6;0;WOCUA6FUTE;3KC48820AAHB05;RT240707301;38.0;19.425;;;N/A;8EC2;8EC2;NOK;;240216;20250809;1830PSS8-WDM;
107519;DTS KANKAVLI / WR_MH_KKW_ILA1_001;1;1;7;0;WOPUAFNMAC;3KC48870ABAB03;RT241002396;36.5;;;;N/A;PF;8DC30;NOK;FW: 1/7 PF ProvRel: default, ActRel: profile_1.3.1, (UBCM ALL *40011200 active), ;240306;20250809;1830PSS8-WDM;
109775;DTS KHED / WR_MH_KHE_ILA1_001;1;1;0;0;RT241309257;3KC48901AA;02;31.0;;;;N/A;SHELF;SHELF;n.a.;ShelfVoltFloor 39.0 V, ;n.a.;20250809;1830PSS8-WDM;
109775;DTS KHED / WR_MH_KHE_ILA1_001;1;1;1;0;WOPUAFNMAC;3KC48870ABAB03;RT241503792;35.5;;;;N/A;PF;8DC30;NOK;FW: 1/1 PF ProvRel: default, ActRel: profile_1.3.1, (UBCM ALL *40011200 active), ;240410;20250809;1830PSS8-WDM;
109775;DTS KHED / WR_MH_KHE_ILA1_001;1;1;12;0;WOCUA6HUTD;3KC48840AAAB04;RT241713005;24.0;;;;N/A;8USRPNL;8UP;NOK;;240428;20250809;1830PSS8-WDM;
109775;DTS KHED / WR_MH_KHE_ILA1_001;1;1;13;0;WOCUA6GUAB;3KC48830AAAA02;RT241207223;23.5;;;;N/A;SHFPNL;8SP;NOK;;240327;20250809;1830PSS8-WDM;
109775;DTS KHED / WR_MH_KHE_ILA1_001;1;1;14;0;WOCUA6SUAC;3KC48850AAAA03;RT241302249;24.2;;;;N/A;FAN;8FAN;NOK;;240327;20250809;1830PSS8-WDM;
109775;DTS KHED / WR_MH_KHE_ILA1_001;1;1;2;0;WOGUA62UTB;3KC70693AAAD02;EZ2419T0214;;21.443;;;power-enabled;ASG;ASG;NOK;FW: 1/2 ASG ProvRel: default, ActRel: profile_1.1.1, (OSC 00 *40020300 active, SUPLNK 00 *40006D00 active, DOMINO 00 *400B0400 active, NUBCM 00 *40040C00 active), ;240515;20250809;1830PSS8-WDM;
109775;DTS KHED / WR_MH_KHE_ILA1_001;1;1;2;OSCSFP;n.a.;1AB373120001;ATOPCN24162875;;;;;N/A;SL-16.2O;n.a.;n.a.;;n.a.;20250809;1830PSS8-WDM;
109775;DTS KHED / WR_MH_KHE_ILA1_001;1;1;3;0;WOGUA62UTB;3KC70693AAAD02;EZ2417T1160;;10.983;;;power-enabled;ASG;ASG;NOK;FW: 1/3 ASG ProvRel: default, ActRel: profile_1.1.1, (OSC 00 *40020300 active, SUPLNK 00 *40006D00 active, DOMINO 00 *400B0400 active, NUBCM 00 *40040C00 active), ;240506;20250809;1830PSS8-WDM;
109775;DTS KHED / WR_MH_KHE_ILA1_001;1;1;3;OSCSFP;n.a.;1AB373120001;ATOPCN24162850;;;;;N/A;SL-16.2O;n.a.;n.a.;;n.a.;20250809;1830PSS8-WDM;
109775;DTS KHED / WR_MH_KHE_ILA1_001;1;1;6;0;WOCUA6FUTE;3KC48820AAHB05;RT241001276;30.0;16.213;;;N/A;8EC2;8EC2;NOK;;240305;20250809;1830PSS8-WDM;
109775;DTS KHED / WR_MH_KHE_ILA1_001;1;1;7;0;WOPUAFNMAC;3KC48870ABAB03;RT241500323;31.0;;;;N/A;PF;8DC30;NOK;FW: 1/7 PF ProvRel: default, ActRel: profile_1.3.1, (UBCM ALL *40011200 active), ;240408;20250809;1830PSS8-WDM;
110499;DTS SANTALPUR / WR_GJ_STP_ILA1_001;1;1;0;0;;;;43.5;;;;N/A;SHELF;SHELF;;ShelfVoltFloor 39.0 V, ;;20250809;1830PSS8-WDM;
110499;DTS SANTALPUR / WR_GJ_STP_ILA1_001;1;1;1;0;WOPUAFNMAC;3KC48870ABAA03;RT241206181;47.0;;;;N/A;PF;8DC30;NOK;FW: 1/1 PF ProvRel: default, ActRel: profile_1.3.1, (UBCM ALL *40011200 active), ;240322;20250809;1830PSS8-WDM;
110499;DTS SANTALPUR / WR_GJ_STP_ILA1_001;1;1;12;0;WOCUA6HUTD;3KC48840AAAB04;RT241308687;38.0;;;;N/A;8USRPNL;8UP;NOK;;240329;20250809;1830PSS8-WDM;
110499;DTS SANTALPUR / WR_GJ_STP_ILA1_001;1;1;13;0;WOCUA6GUAB;3KC48830AAAA02;RT240905749;38.0;;;;N/A;SHFPNL;8SP;NOK;;240301;20250809;1830PSS8-WDM;
110499;DTS SANTALPUR / WR_GJ_STP_ILA1_001;1;1;14;0;WOCUA6SUAC;3KC48850AAAA03;RT240909382;38.0;;;;N/A;FAN;8FAN;NOK;;240302;20250809;1830PSS8-WDM;
110499;DTS SANTALPUR / WR_GJ_STP_ILA1_001;1;1;2;0;WOGUA62UTB;3KC70693AAAD02;EZ2410T0538;;22.924;;;power-enabled;ASG;ASG;NOK;FW: 1/2 ASG ProvRel: default, ActRel: profile_1.1.1, (OSC 00 *40020300 active, SUPLNK 00 *40006D00 active, DOMINO 00 *400B0400 active, NUBCM 00 *40040C00 active), ;240312;20250809;1830PSS8-WDM;
110499;DTS SANTALPUR / WR_GJ_STP_ILA1_001;1;1;2;OSCSFP;n.a.;1AB373120001;ATOPCN24092945;;;;;N/A;SL-16.2O;n.a.;n.a.;;n.a.;20250809;1830PSS8-WDM;
110499;DTS SANTALPUR / WR_GJ_STP_ILA1_001;1;1;3;0;WOGUA62UTB;3KC70693AAAD02;EZ2411T0309;;12.504;;;power-enabled;ASG;ASG;NOK;FW: 1/3 ASG ProvRel: default, ActRel: profile_1.1.1, (OSC 00 *40020300 active, SUPLNK 00 *40006D00 active, DOMINO 00 *400B0400 active, NUBCM 00 *40040C00 active), ;240317;20250809;1830PSS8-WDM;
110499;DTS SANTALPUR / WR_GJ_STP_ILA1_001;1;1;3;OSCSFP;n.a.;1AB373120001;ATOPCN24092947;;;;;N/A;SL-16.2O;n.a.;n.a.;;n.a.;20250809;1830PSS8-WDM;
110499;DTS SANTALPUR / WR_GJ_STP_ILA1_001;1;1;6;0;WOCUA6FUTE;3KC48820AAHB05;RT240702127;42.0;17.714;;;N/A;8EC2;8EC2;NOK;;240213;20250809;1830PSS8-WDM;
110499;DTS SANTALPUR / WR_GJ_STP_ILA1_001;1;1;7;0;WOPUAFNMAC;3KC48870ABAA03;RT241207795;43.5;;;;N/A;PF;8DC30;NOK;FW: 1/7 PF ProvRel: default, ActRel: profile_1.3.1, (UBCM ALL *40011200 active), ;240322;20250809;1830PSS8-WDM;
110526;CHOURAI / WR_MP_CUR_ILA1_001;1;1;0;0;;;;40.5;;;;N/A;SHELF;SHELF;;ShelfVoltFloor 39.0 V, ;;20250809;1830PSS8-WDM;
110526;CHOURAI / WR_MP_CUR_ILA1_001;1;1;1;0;WOPUAFNMAC;3KC48870ABAB03;RT242303381;47.5;;;;N/A;PF;8DC30;NOK;FW: 1/1 PF ProvRel: default, ActRel: profile_1.3.1, (UBCM ALL *40011200 active), ;240604;20250809;1830PSS8-WDM;
110526;CHOURAI / WR_MP_CUR_ILA1_001;1;1;12;0;WOCUA6HUTD;3KC48840AAAB04;RT243214548;34.0;;;;N/A;8USRPNL;8UP;NOK;;240812;20250809;1830PSS8-WDM;
110526;CHOURAI / WR_MP_CUR_ILA1_001;1;1;13;0;WOCUA6GUAB;3KC48830AAAA02;RT242504222;34.0;;;;N/A;SHFPNL;8SP;NOK;;240619;20250809;1830PSS8-WDM;
110526;CHOURAI / WR_MP_CUR_ILA1_001;1;1;14;0;WOCUA6SUAC;3KC48850AAAA03;RT243307411;33.5;;;;N/A;FAN;8FAN;NOK;;240814;20250809;1830PSS8-WDM;
