HC-Id;Location;Rack;Shelf;Slot;Sub;CLEI;Part number;Serial number;Temp(oC);Power(W);TxPwr;RxPwr;Power Admin;TL1 Type;Mnemonic;Company;ExtraData;Date;HC Date;Shelf Type;Release
109323;DTS JHABUA / WR_MP_JHB_OTN2_001;1;1;0;0;WOMSV00ERB;3TD00287AAAB02;ZJ243000295;35.0;;;;N/A;SHELF;SHELF;n.a.;ShelfVoltFloor 39.0 V, ;n.a.;20250809;1830PSS12x-WDM;
109323;DTS JHABUA / WR_MP_JHB_OTN2_001;1;1;1;0;WOCUBEEUAB;3TD00555AAAC02;ZJ24230024N;43.5;34.5;;;N/A;12XCEC2;XCEC12;NOK;;240626;20250809;1830PSS12x-WDM;
109323;DTS JHABUA / WR_MP_JHB_OTN2_001;1;1;10;0;WOCUBJFUAA;3TD00897AAAA01;ZJ24260011K;48.2;93.5;;;N/A;XST12T;XST12T;NOK;FW: 1/10 XST12T ProvRel: default, ActRel: profile_1.2.1, (SUPLNK 00 *40710000 active, DOMINO 00 *400B0400 active, NUBCM all *40030B00 active), ;240703;20250809;1830PSS12x-WDM;
109323;DTS JHABUA / WR_MP_JHB_OTN2_001;1;1;11;0;WOTREPPTAA;3TD00493AAAC01;KD243401398;54.0;83.6;;;power-enabled;2UX200;2UX200;NOK;FW: 1/11 2UX200 ProvRel: default, ActRel: profile_3.5.1, (FFCHP 01 *60021111 active, SUPLNK 00 *406D0000 active, MAXBCMXP2 00 *40041200 active, DOMINO 01 *400A0500 active, ADDXS 03 *50030900 active, OCCXS 04 *40053100 active), ;240905;20250809;1830PSS12x-WDM;
109323;DTS JHABUA / WR_MP_JHB_OTN2_001;1;1;11;1;n.a.;3AL82155ABAA;LBALLU-FA243340U2L;;;;;N/A;C4ACO;n.a.;n.a.;FW: 1/11/1 C4ACO, ;n.a.;20250809;1830PSS12x-WDM;
109323;DTS JHABUA / WR_MP_JHB_OTN2_001;1;1;11;2;n.a.;3AL82155ABAA;LBALLU-FA243340U2K;;;;;N/A;C4ACO;n.a.;n.a.;FW: 1/11/2 C4ACO, ;n.a.;20250809;1830PSS12x-WDM;
109323;DTS JHABUA / WR_MP_JHB_OTN2_001;1;1;12;0;WOTREPPTAA;3TD00493AAAC01;KD243401278;60.0;125.7;;;power-enabled;2UX200;2UX200;NOK;FW: 1/12 2UX200 ProvRel: default, ActRel: profile_3.5.1, (FFCHP 01 *60021111 active, SUPLNK 00 *406D0000 active, MAXBCMXP2 00 *40041200 active, DOMINO 01 *400A0500 active, ADDXS 03 *50030900 active, OCCXS 04 *40053100 active), ;240827;20250809;1830PSS12x-WDM;
109323;DTS JHABUA / WR_MP_JHB_OTN2_001;1;1;12;1;n.a.;3AL82155ABAA;LBALLU-FA243040T8F;;;;;N/A;C4ACO;n.a.;n.a.;FW: 1/12/1 C4ACO, ;n.a.;20250809;1830PSS12x-WDM;
109323;DTS JHABUA / WR_MP_JHB_OTN2_001;1;1;12;2;n.a.;3AL82155ABAA;LBALLU-FA243240TY5;;;;;N/A;C4ACO;n.a.;n.a.;FW: 1/12/2 C4ACO, ;n.a.;20250809;1830PSS12x-WDM;
109323;DTS JHABUA / WR_MP_JHB_OTN2_001;1;1;13;0;WOTREEFTAA;3TD00026AAAE01;KD243101079;52.5;66.2;;;power-enabled;20AX200;20AX200;NOK;FW: 1/13 20AX200 ProvRel: default, ActRel: profile_1.1.1, (FFCHP 01 *60021111 active, SUPLNK 00 *406D0000 active, MAXBCMXP2 00 *40040E02 active, DOMINO 00 *400A0200 active), ;240916;20250809;1830PSS12x-WDM;
109323;DTS JHABUA / WR_MP_JHB_OTN2_001;1;1;13;1;n.a.;1AB390930013;ALLU24--AN44000482;;;;;N/A;SXI64.1;n.a.;n.a.;FW: 1/13/1 SXI64.1, ;n.a.;20250809;1830PSS12x-WDM;
