HC-Id;Location;Rack;Shelf;Slot;Sub;CLEI;Part number;Serial number;Temp(oC);Power(W);TxPwr;RxPwr;Power Admin;TL1 Type;Mnemonic;Company;ExtraData;Date;HC Date;Shelf Type;Release
100349;NEW ANCOL / JKT088-PSS24.51_ANC;1;1;0;0;WOMP410CRA;3KC60223AAAA01;ZJ2246003KF;26.0;;;;N/A;SHELF;SHELF;n.a.;ShelfVoltFloor 39.0 V, ;n.a.;20250811;1830PSS24x-WDM;
100349;NEW ANCOL / JKT088-PSS24.51_ANC;1;1;10;0;WOTRE0YTAA;3KC61122AAAB01;KD250400213;44.0;262.3;;;N/A;2UC1T;2UC1T;NOK;FW: 1/10 2UC1T ProvRel: default, ActRel: profile_1.1.1, (FF3C all *6001170F active, SUPLNK 00 *40720000 active, DOMINO 00 *400B0300 active, MAXBCMXP2 00 *40041900 active, FF3BLDR 00 *50015EFD active), ;250130;20250811;1830PSS24x-WDM;
100349;NEW ANCOL / JKT088-PSS24.51_ANC;1;1;10;1;n.a.;3KC93815AACB;RT243802784;;;;;N/A;BMDCO6;n.a.;n.a.;FW: 1/10/1 BMDCO6 ProvRel: default, ActRel: profile_4.1.1, (), ;n.a.;20250811;1830PSS24x-WDM;
100349;NEW ANCOL / JKT088-PSS24.51_ANC;1;1;10;2;n.a.;3KC93815AACB;RT245000084;;;;;N/A;BMDCO6;n.a.;n.a.;FW: 1/10/2 BMDCO6 ProvRel: default, ActRel: profile_4.1.1, (), ;n.a.;20250811;1830PSS24x-WDM;
100349;NEW ANCOL / JKT088-PSS24.51_ANC;1;1;11;0;WOTREUPTAA;3KC61026AAAC01;ZJ2209000T2;58.0;336.8;;;N/A;8UC1T;8UC1T;NOK;FW: 1/11 8UC1T ProvRel: default, ActRel: Obsolete, (FF3C all *6001170F active, SUPLNK 01 40710000 activeDGP, MAXBCMXP2 00 *40041600 active, DOMINO 01 *400B0800 active, T3S1 00 *40000600 active, ADDXS 01 *50030900 active, OCCXS 01 40052500 hitless, FF3BLDR 00 *50015EFD active), FW: 1/11 8UC1T Obsolete (ADDXS 01 50030900, OCCXS 01 40052500), ;220311;20250811;1830PSS24x-WDM;
100349;NEW ANCOL / JKT088-PSS24.51_ANC;1;1;11;2;n.a.;3AL82155ABAA;LBALLU-FA214940CYA;;;;;N/A;C4ACO;n.a.;n.a.;FW: 1/11/2 C4ACO, ;n.a.;20250811;1830PSS24x-WDM;
100349;NEW ANCOL / JKT088-PSS24.51_ANC;1;1;11;4;n.a.;3AL82155ABAA;LBALLU-FA214740CKP;;;;;N/A;C4ACO;n.a.;n.a.;FW: 1/11/4 C4ACO, ;n.a.;20250811;1830PSS24x-WDM;
100349;NEW ANCOL / JKT088-PSS24.51_ANC;1;1;11;5;n.a.;3AL82155ABAA;LBALLU-FA215140D21;;;;;N/A;C4ACO;n.a.;n.a.;FW: 1/11/5 C4ACO, ;n.a.;20250811;1830PSS24x-WDM;
100349;NEW ANCOL / JKT088-PSS24.51_ANC;1;1;11;7;n.a.;3AL82155ABAA;LBALLU-FA215140D4T;;;;;N/A;C4ACO;n.a.;n.a.;FW: 1/11/7 C4ACO, ;n.a.;20250811;1830PSS24x-WDM;
100349;NEW ANCOL / JKT088-PSS24.51_ANC;1;1;11;8;n.a.;3AL82155ABAA;LBALLU-FA214940CY1;;;;;N/A;C4ACO;n.a.;n.a.;FW: 1/11/8 C4ACO, ;n.a.;20250811;1830PSS24x-WDM;
